chrom,start,end,gene,mean_coverage,plate,batch,mixture,read_counts,normalized_mean_coverage,normalized_read_counts
MN908947.3,21563,25384,S,10180.42,05-05-23-V2,WB: varskip,a,581659.0,17502.385418260525,7860.256756756757
MN908947.3,21563,25384,S,10026.98,05-05-23-V2,WB: varskip,g,631360.0,15881.557273188038,8531.891891891892
MN908947.3,21563,25384,S,10183.83,05-05-23-V2,WB: varskip,i,597943.0,17031.439451586524,8080.310810810811
MN908947.3,21563,25384,S,10257.83,05-05-23-V2,WB: varskip,d,657983.0,15589.810071080865,8891.662162162162
MN908947.3,21563,25384,S,10674.59,05-05-23-V2,WB: varskip,0-3,580039.0,18403.228058802943,7838.364864864865
MN908947.3,21563,25384,S,10409.93,05-05-23-V2,WB: varskip,o3-2,687598.0,15139.558288418524,9291.864864864865
MN908947.3,21563,25384,S,11674.94,05-05-23-V2,WB: varskip,o3-3,612177.0,19071.18366093467,8272.662162162162
MN908947.3,21563,25384,S,8894.43,05-05-23-V2,WB: varskip,o5-2,613793.0,14490.927723190065,8294.5
MN908947.3,21563,25384,S,11696.87,05-05-23-V2,WB: varskip,o5-3,799671.0,14627.102896066008,10806.364864864865
MN908947.3,21563,25384,S,8409.97,05-05-23-V2,WB: varskip,o4-2,604201.0,13919.159352599547,8164.878378378378
MN908947.3,21563,25384,S,9357.53,05-05-23-V2,WB: varskip,o4-3,677552.0,13810.792381986917,9156.108108108108
MN908947.3,21563,25384,S,7885.33,05-05-23-V2,WB: varskip,o2-2,552756.0,14265.480609889355,7469.675675675676
MN908947.3,21563,25384,S,8923.06,05-05-23-V2,WB: varskip,o2o3o4o5-2,536891.0,16619.87256258719,7255.283783783784
MN908947.3,21563,25384,S,7989.88,05-05-23-V2,WB: varskip,o2o3o4o5-3,569358.0,14033.139079454404,7694.027027027027
MN908947.3,21563,25384,S,11472.61,05-05-23-V2,WB: varskip,0adgio1-2,690829.0,16607.018524121024,9335.527027027027
MN908947.3,21563,25384,S,11972.52,05-05-23-V2,WB: varskip,0aio1o2o3o4o5,688005.0,17401.79213813853,9297.364864864865
MN908947.3,21563,25384,S,11858.69,05-05-23-V2,WB: varskip,0-4,660822.0,17945.361988553654,8930.027027027027
MN908947.3,21563,25384,S,10922.38,05-05-23-V2,WB: varskip,a-2,636562.0,17158.39148425448,8602.18918918919
MN908947.3,21563,25384,S,10496.15,05-05-23-V2,WB: varskip,g-2,668374.0,15704.007037975744,9032.081081081082
MN908947.3,21563,25384,S,8330.23,05-05-23-V2,WB: varskip,i-2,491657.0,16943.173797993317,6644.013513513513
MN908947.3,21563,25384,S,9308.11,05-05-23-V2,WB: varskip,d-2,600694.0,15495.59343026566,8117.486486486487
MN908947.3,21563,25384,S,10622.71,05-05-23-V2,WB: varskip,o1-2,652805.0,16272.409065494288,8821.68918918919
MN908947.3,21563,25384,S,9329.43,05-05-23-V2,WB: varskip,o2-3,659526.0,14145.65915521147,8912.513513513513
MN908947.3,21563,25384,S,11015.08,05-05-23-V2,WB: varskip,o3-4,579048.0,19022.740774512647,7824.972972972973
MN908947.3,21563,25384,S,4551.36,05-16-23-A41,NWRB: artic,0adgio1o2o3o4o5,402121.0,11318.384267421994,4061.8282828282827
MN908947.3,21563,25384,S,4726.37,05-16-23-A41,NWRB: artic,0adgio1,395480.0,11950.970971983412,3994.747474747475
MN908947.3,21563,25384,S,3892.94,05-16-23-A41,NWRB: artic,o2o3o4o5,368647.0,10560.07508537978,3723.7070707070707
MN908947.3,21563,25384,S,5697.0,05-16-23-A41,NWRB: artic,0agio1o2,497125.0,11459.89439275836,5021.464646464647
MN908947.3,21563,25384,S,6028.56,05-16-23-A41,NWRB: artic,0o5o3o4,516960.0,11661.559888579388,5221.818181818182
MN908947.3,21563,25384,S,6397.38,05-16-23-A41,NWRB: artic,adgio1o2o3,546834.0,11698.943372211676,5523.575757575758
MN908947.3,21563,25384,S,4703.89,05-16-23-A41,NWRB: artic,agio3o4o5,423866.0,11097.587445088779,4281.474747474747
MN908947.3,21563,25384,S,5221.47,05-16-23-A41,NWRB: artic,o1o2o3o4o5,468162.0,11153.126481858844,4728.909090909091
MN908947.3,21563,25384,S,5618.21,05-16-23-A41,NWRB: artic,0,454517.0,12360.835788320348,4591.080808080808
MN908947.3,21563,25384,S,4683.33,05-16-23-A41,NWRB: artic,o1o2,434707.0,10773.532517304759,4390.979797979798
MN908947.3,21563,25384,S,4129.2,05-16-23-A41,NWRB: artic,o3,430361.0,9594.735582452871,4347.080808080808
MN908947.3,21563,25384,S,4087.17,05-16-23-A41,NWRB: artic,o5,404669.0,10100.03237213624,4087.5656565656564
MN908947.3,21563,25384,S,4916.48,05-16-23-A41,NWRB: artic,o4,482326.0,10193.271770545232,4871.979797979798
MN908947.3,21563,25384,S,5161.77,05-16-23-A41,NWRB: artic,0-2,438960.0,11759.089666484419,4433.939393939394
MN908947.3,21563,25384,S,4839.07,05-16-23-A41,NWRB: artic,a,413049.0,11715.486540337828,4172.212121212121
MN908947.3,21563,25384,S,4164.81,05-16-23-A41,NWRB: artic,g,353555.0,11779.807950672457,3571.2626262626263
MN908947.3,21563,25384,S,5245.43,05-16-23-A41,NWRB: artic,i,440910.0,11896.827016851512,4453.636363636364
MN908947.3,21563,25384,S,4984.04,05-16-23-A41,NWRB: artic,d,433157.0,11506.312953501849,4375.323232323232
MN908947.3,21563,25384,S,5923.26,05-16-23-A41,NWRB: artic,0-3,486182.0,12183.215339111692,4910.929292929293
MN908947.3,21563,25384,S,4608.92,05-16-23-A41,NWRB: artic,o3-2,449808.0,10246.41624871056,4543.515151515152
MN908947.3,21563,25384,S,4863.38,05-16-23-A41,NWRB: artic,o3-3,493017.0,9864.527998020352,4979.969696969697
MN908947.3,21563,25384,S,4352.84,05-16-23-A41,NWRB: artic,o5-2,415861.0,10467.055097736984,4200.616161616162
MN908947.3,21563,25384,S,4651.56,05-16-23-A41,NWRB: artic,o5-3,431009.0,10792.257238247927,4353.626262626262
MN908947.3,21563,25384,S,5303.31,05-16-23-A41,NWRB: artic,o4-2,517942.0,10239.196666808253,5231.737373737374
MN908947.3,21563,25384,S,4923.88,05-16-23-A41,NWRB: artic,o4-3,443198.0,11109.887679998556,4476.747474747474
MN908947.3,21563,25384,S,5034.78,05-16-23-A41,NWRB: artic,o2-2,462621.0,10883.163539917125,4672.939393939394
MN908947.3,21563,25384,S,5056.2,05-16-23-A41,NWRB: artic,o2o3o4o5-2,485424.0,10416.048650252149,4903.272727272727
MN908947.3,21563,25384,S,4866.49,05-16-23-A41,NWRB: artic,o2o3o4o5-3,477368.0,10194.420237636372,4821.89898989899
MN908947.3,21563,25384,S,5518.22,05-16-23-A41,NWRB: artic,0adgio1-2,464743.0,11873.702239732498,4694.373737373738
MN908947.3,21563,25384,S,5467.34,05-16-23-A41,NWRB: artic,0aio1o2o3o4o5,464183.0,11778.41497857526,4688.717171717171
MN908947.3,21563,25384,S,5327.58,05-16-23-A41,NWRB: artic,0-4,427234.0,12469.934508957622,4315.49494949495
MN908947.3,21563,25384,S,5470.85,05-16-23-A41,NWRB: artic,a-2,454546.0,12035.855556973333,4591.373737373738
MN908947.3,21563,25384,S,5337.73,05-16-23-A41,NWRB: artic,g-2,439249.0,12151.945707332286,4436.858585858586
MN908947.3,21563,25384,S,5755.67,05-16-23-A41,NWRB: artic,i-2,456854.0,12598.488795107409,4614.686868686868
MN908947.3,21563,25384,S,5718.98,05-16-23-A41,NWRB: artic,d-2,487012.0,11742.99606580536,4919.313131313132
MN908947.3,21563,25384,S,5492.11,05-16-23-A41,NWRB: artic,o1-2,465984.0,11786.048448015383,4706.909090909091
MN908947.3,21563,25384,S,4708.82,05-16-23-A41,NWRB: artic,o2-3,429871.0,10954.03039516506,4342.131313131313
MN908947.3,21563,25384,S,3948.42,05-16-23-A41,NWRB: artic,o3-4,415918.0,9493.265499449411,4201.19191919192
MN908947.3,21563,25384,S,7635.0,06-16-23-V2,NWRB: varskip,0adgio1o2o3o4o5,491987.0,15518.702729950182,6648.472972972973
MN908947.3,21563,25384,S,9960.19,06-16-23-V2,NWRB: varskip,0adgio1,568441.0,17521.941591123796,7681.635135135135
MN908947.3,21563,25384,S,571.97,06-16-23-V2,NWRB: varskip,o2o3o4o5,259646.0,2202.883926576955,3508.7297297297296
MN908947.3,21563,25384,S,9549.37,06-16-23-V2,NWRB: varskip,0agio1o2,591700.0,16138.87104951834,7995.945945945946
MN908947.3,21563,25384,S,10417.83,06-16-23-V2,NWRB: varskip,0o5o3o4,635474.0,16393.79423863132,8587.486486486487
MN908947.3,21563,25384,S,9642.42,06-16-23-V2,NWRB: varskip,adgio1o2o3,625570.0,15413.81460108381,8453.648648648648
MN908947.3,21563,25384,S,9569.6,06-16-23-V2,NWRB: varskip,agio3o4o5,570678.0,16768.8258527576,7711.864864864865
MN908947.3,21563,25384,S,7969.24,06-16-23-V2,NWRB: varskip,o1o2o3o4o5,556972.0,14308.15193582442,7526.648648648648
MN908947.3,21563,25384,S,8281.05,06-16-23-V2,NWRB: varskip,0,483842.0,17115.19462965183,6538.405405405405
MN908947.3,21563,25384,S,7138.67,06-16-23-V2,NWRB: varskip,o1o2,479837.0,14877.281243422245,6484.283783783784
MN908947.3,21563,25384,S,10317.4,06-16-23-V2,NWRB: varskip,o3,541055.0,19069.04104019,7311.554054054054
MN908947.3,21563,25384,S,7779.15,06-16-23-V2,NWRB: varskip,o5,526969.0,14762.063802614575,7121.2027027027025
MN908947.3,21563,25384,S,8451.93,06-16-23-V2,NWRB: varskip,o4,608164.0,13897.452003078117,8218.432432432432
MN908947.3,21563,25384,S,10028.85,06-16-23-V2,NWRB: varskip,0-2,585563.0,17126.850569451963,7913.013513513513
MN908947.3,21563,25384,S,7659.13,06-16-23-V2,NWRB: varskip,a,423103.0,18102.282422956112,5717.608108108108
MN908947.3,21563,25384,S,6925.77,06-16-23-V2,NWRB: varskip,g,422680.0,16385.374278413932,5711.891891891892
MN908947.3,21563,25384,S,8532.26,06-16-23-V2,NWRB: varskip,i,438071.0,19476.88844958922,5919.878378378378
MN908947.3,21563,25384,S,7861.04,06-16-23-V2,NWRB: varskip,d,475307.0,16538.868562844644,6423.0675675675675
MN908947.3,21563,25384,S,10481.81,06-16-23-V2,NWRB: varskip,0-3,517411.0,20258.189331112015,6992.040540540541
MN908947.3,21563,25384,S,8917.14,06-16-23-V2,NWRB: varskip,o3-2,579706.0,15382.176482561848,7833.864864864865
MN908947.3,21563,25384,S,9705.16,06-16-23-V2,NWRB: varskip,o3-3,518203.0,18728.490572227485,7002.743243243243
MN908947.3,21563,25384,S,6464.86,06-16-23-V2,NWRB: varskip,o5-2,441361.0,14647.556082209348,5964.3378378378375
MN908947.3,21563,25384,S,6799.81,06-16-23-V2,NWRB: varskip,o5-3,478221.0,14218.969890489963,6462.445945945946
MN908947.3,21563,25384,S,6709.91,06-16-23-V2,NWRB: varskip,o4-2,496115.0,13524.908539350756,6704.256756756757
MN908947.3,21563,25384,S,6877.28,06-16-23-V2,NWRB: varskip,o4-3,503792.0,13651.030584050559,6808.0
MN908947.3,21563,25384,S,7107.75,06-16-23-V2,NWRB: varskip,o2-2,496244.0,14323.095090318473,6706.0
MN908947.3,21563,25384,S,8755.61,06-16-23-V2,NWRB: varskip,o2o3o4o5-2,501966.0,17442.635556989917,6783.324324324324
MN908947.3,21563,25384,S,6821.09,06-16-23-V2,NWRB: varskip,o2o3o4o5-3,504204.0,13528.432935875162,6813.5675675675675
MN908947.3,21563,25384,S,8267.36,06-16-23-V2,NWRB: varskip,0adgio1-2,464853.0,17784.891137628456,6281.7972972972975
MN908947.3,21563,25384,S,8465.95,06-16-23-V2,NWRB: varskip,0aio1o2o3o4o5,475683.0,17797.4617549923,6428.148648648648
MN908947.3,21563,25384,S,9390.55,06-16-23-V2,NWRB: varskip,0-4,503104.0,18665.226275283043,6798.7027027027025
MN908947.3,21563,25384,S,8062.27,06-16-23-V2,NWRB: varskip,a-2,438083.0,18403.521707073774,5920.040540540541
MN908947.3,21563,25384,S,7422.3,06-16-23-V2,NWRB: varskip,g-2,457485.0,16224.138496344141,6182.22972972973
MN908947.3,21563,25384,S,9308.28,06-16-23-V2,NWRB: varskip,i-2,485304.0,19180.307601008855,6558.1621621621625
MN908947.3,21563,25384,S,8749.4,06-16-23-V2,NWRB: varskip,d-2,531169.0,16471.970314532664,7177.959459459459
MN908947.3,21563,25384,S,9213.55,06-16-23-V2,NWRB: varskip,o1-2,552447.0,16677.708449860347,7465.5
MN908947.3,21563,25384,S,5857.86,06-16-23-V2,NWRB: varskip,o2-3,417577.0,14028.215155528202,5642.9324324324325
MN908947.3,21563,25384,S,7834.01,06-16-23-V2,NWRB: varskip,o3-4,409775.0,19117.83295711061,5537.5
MN908947.3,21563,25384,S,8964.27,06-26-23-A41,PWRB: artic,0adgio1o2o3o4o5,797922.0,11234.519163527262,8059.818181818182
MN908947.3,21563,25384,S,9049.98,06-26-23-A41,PWRB: artic,0adgio1,763061.0,11860.100306528573,7707.686868686868
MN908947.3,21563,25384,S,8141.02,06-26-23-A41,PWRB: artic,o2o3o4o5,789372.0,10313.28701803459,7973.454545454545
MN908947.3,21563,25384,S,10212.95,06-26-23-A41,PWRB: artic,0agio1o2,898609.0,11365.287906085963,9076.858585858587
MN908947.3,21563,25384,S,10324.57,06-26-23-A41,PWRB: artic,0o5o3o4,905087.0,11407.268030587114,9142.29292929293
MN908947.3,21563,25384,S,9191.26,06-26-23-A41,PWRB: artic,adgio1o2o3,829899.0,11075.154928491298,8382.818181818182
MN908947.3,21563,25384,S,8761.03,06-26-23-A41,PWRB: artic,agio3o4o5,754728.0,11608.195270349053,7623.515151515152
MN908947.3,21563,25384,S,10116.91,06-26-23-A41,PWRB: artic,o1o2o3o4o5,931864.0,10856.637878488706,9412.767676767677
MN908947.3,21563,25384,S,16872.85,06-26-23-A41,PWRB: artic,0,1409051.0,11974.619797296193,14232.838383838383
MN908947.3,21563,25384,S,11318.14,06-26-23-A41,PWRB: artic,o1o2,1061147.0,10665.949204021686,10718.656565656565
MN908947.3,21563,25384,S,10128.9,06-26-23-A41,PWRB: artic,o3,1088648.0,9304.109317244876,10996.444444444445
MN908947.3,21563,25384,S,8301.08,06-26-23-A41,PWRB: artic,o5,838065.0,9905.055097158334,8465.30303030303
MN908947.3,21563,25384,S,8957.6,06-26-23-A41,PWRB: artic,o4,878552.0,10195.86774601845,8874.262626262625
MN908947.3,21563,25384,S,9115.68,06-26-23-A41,PWRB: artic,0-2,763045.0,11946.451388843385,7707.525252525253
MN908947.3,21563,25384,S,10453.46,06-26-23-A41,PWRB: artic,a,875670.0,11937.670583667363,8845.151515151516
MN908947.3,21563,25384,S,8261.47,06-26-23-A41,PWRB: artic,g,716993.0,11522.38585313943,7242.353535353535
MN908947.3,21563,25384,S,10158.72,06-26-23-A41,PWRB: artic,i,812912.0,12496.703210187572,8211.232323232323
MN908947.3,21563,25384,S,9693.3,06-26-23-A41,PWRB: artic,d,814610.0,11899.313782055217,8228.38383838384
MN908947.3,21563,25384,S,9795.29,06-26-23-A41,PWRB: artic,0-3,790303.0,12394.347484445841,7982.858585858586
MN908947.3,21563,25384,S,7863.23,06-26-23-A41,PWRB: artic,o3-2,824343.0,9538.784219675546,8326.69696969697
MN908947.3,21563,25384,S,7384.02,06-26-23-A41,PWRB: artic,o3-3,798899.0,9242.745328258017,8069.686868686868
MN908947.3,21563,25384,S,7897.66,06-26-23-A41,PWRB: artic,o5-2,857798.0,9206.89952646194,8664.626262626263
MN908947.3,21563,25384,S,6382.59,06-26-23-A41,PWRB: artic,o5-3,753839.0,8466.781368435435,7614.535353535353
MN908947.3,21563,25384,S,8316.42,06-26-23-A41,PWRB: artic,o4-2,797660.0,10426.021111751874,8057.171717171717
MN908947.3,21563,25384,S,11022.19,06-26-23-A41,PWRB: artic,o4-3,1062265.0,10376.120836137876,10729.949494949495
MN908947.3,21563,25384,S,10049.81,06-26-23-A41,PWRB: artic,o2-2,956988.0,10501.500541281603,9666.545454545454
MN908947.3,21563,25384,S,9875.44,06-26-23-A41,PWRB: artic,o2o3o4o5-2,1000187.0,9873.593637989696,10102.89898989899
MN908947.3,21563,25384,S,8317.02,06-26-23-A41,PWRB: artic,o2o3o4o5-3,820480.0,10136.773595943838,8287.676767676769
MN908947.3,21563,25384,S,8175.73,06-26-23-A41,PWRB: artic,0adgio1-2,719364.0,11365.219833074772,7266.30303030303
MN908947.3,21563,25384,S,9158.35,06-26-23-A41,PWRB: artic,0aio1o2o3o4o5,810778.0,11295.755434903265,8189.676767676768
MN908947.3,21563,25384,S,11357.08,06-26-23-A41,PWRB: artic,0-4,965092.0,11767.872907453382,9748.40404040404
MN908947.3,21563,25384,S,10002.41,06-26-23-A41,PWRB: artic,a-2,872599.0,11462.779581457233,8814.131313131313
MN908947.3,21563,25384,S,10874.1,06-26-23-A41,PWRB: artic,g-2,940984.0,11556.094471319386,9504.888888888889
MN908947.3,21563,25384,S,13902.6,06-26-23-A41,PWRB: artic,i-2,1125170.0,12355.999537847614,11365.353535353535
MN908947.3,21563,25384,S,11807.37,06-26-23-A41,PWRB: artic,d-2,1001636.0,11788.084693441531,10117.535353535353
MN908947.3,21563,25384,S,8707.17,06-26-23-A41,PWRB: artic,o1-2,826970.0,10529.003470500744,8353.232323232323
MN908947.3,21563,25384,S,8806.45,06-26-23-A41,PWRB: artic,o2-3,843686.0,10438.065820696327,8522.080808080807
MN908947.3,21563,25384,S,6316.93,06-26-23-A41,PWRB: artic,o3-4,711255.0,8881.385719608299,7184.393939393939
MN908947.3,21563,25384,S,11984.44,07-12-23-V2A,PWRB: varskip,0adgio1o2o3o4o5,716952.0,16715.819190127095,9688.54054054054
MN908947.3,21563,25384,S,12169.48,07-12-23-V2A,PWRB: varskip,0adgio1,732389.0,16616.142514428804,9897.148648648648
MN908947.3,21563,25384,S,9972.18,07-12-23-V2A,PWRB: varskip,o2o3o4o5,636043.0,15678.468279660337,8595.175675675675
MN908947.3,21563,25384,S,12347.92,07-12-23-V2A,PWRB: varskip,0agio1o2,734684.0,16807.11707346288,9928.162162162162
MN908947.3,21563,25384,S,14196.48,07-12-23-V2A,PWRB: varskip,0o5o3o4,768352.0,18476.53158968806,10383.135135135135
MN908947.3,21563,25384,S,13415.53,07-12-23-V2A,PWRB: varskip,adgio1o2o3,787575.0,17033.971367806244,10642.905405405405
MN908947.3,21563,25384,S,13242.9,07-12-23-V2A,PWRB: varskip,agio3o4o5,767216.0,17260.97995870785,10367.783783783783
MN908947.3,21563,25384,S,13383.14,07-12-23-V2A,PWRB: varskip,o1o2o3o4o5,825770.0,16206.861474744785,11159.054054054053
MN908947.3,21563,25384,S,15890.81,07-12-23-V2A,PWRB: varskip,0,762632.0,20836.799399972726,10305.837837837838
MN908947.3,21563,25384,S,14140.87,07-12-23-V2A,PWRB: varskip,o1o2,802373.0,17623.810871003887,10842.878378378378
MN908947.3,21563,25384,S,9814.78,07-12-23-V2A,PWRB: varskip,o3,612095.0,16034.733170504578,8271.554054054053
MN908947.3,21563,25384,S,11172.89,07-12-23-V2A,PWRB: varskip,o5,652215.0,17130.685433484356,8813.716216216217
MN908947.3,21563,25384,S,10777.58,07-12-23-V2A,PWRB: varskip,o4,734056.0,14682.231328400012,9919.675675675675
MN908947.3,21563,25384,S,15445.02,07-12-23-V2A,PWRB: varskip,0-2,713023.0,21661.32088305707,9635.445945945947
MN908947.3,21563,25384,S,12794.48,07-12-23-V2A,PWRB: varskip,a,642853.0,19902.652705984103,8687.202702702703
MN908947.3,21563,25384,S,13152.42,07-12-23-V2A,PWRB: varskip,g,673234.0,19536.17909968896,9097.756756756757
MN908947.3,21563,25384,S,15397.51,07-12-23-V2A,PWRB: varskip,i,724461.0,21253.74588832249,9790.013513513513
MN908947.3,21563,25384,S,12938.33,07-12-23-V2A,PWRB: varskip,d,669099.0,19336.94415923503,9041.878378378378
MN908947.3,21563,25384,S,15289.78,07-12-23-V2A,PWRB: varskip,0-3,695257.0,21991.551325624914,9395.364864864865
MN908947.3,21563,25384,S,12141.39,07-12-23-V2A,PWRB: varskip,o3-2,725511.0,16734.94957347304,9804.202702702703
MN908947.3,21563,25384,S,15530.76,07-12-23-V2A,PWRB: varskip,o3-3,650442.0,23877.24039960519,8789.756756756757
MN908947.3,21563,25384,S,11741.01,07-12-23-V2A,PWRB: varskip,o5-2,708906.0,16562.153515416714,9579.81081081081
MN908947.3,21563,25384,S,11245.49,07-12-23-V2A,PWRB: varskip,o5-3,675355.0,16651.227872748404,9126.418918918918
MN908947.3,21563,25384,S,9153.1,07-12-23-V2A,PWRB: varskip,o4-2,644348.0,14205.212090361108,8707.405405405405
MN908947.3,21563,25384,S,11643.85,07-12-23-V2A,PWRB: varskip,o4-3,731264.0,15922.90882636093,9881.945945945947
MN908947.3,21563,25384,S,11725.38,07-12-23-V2A,PWRB: varskip,o2-2,722778.0,16222.65757950574,9767.27027027027
MN908947.3,21563,25384,S,13196.99,07-12-23-V2A,PWRB: varskip,o2o3o4o5-2,769740.0,17144.7371839842,10401.891891891892
MN908947.3,21563,25384,S,11698.7,07-12-23-V2A,PWRB: varskip,o2o3o4o5-3,763592.0,15320.616245324729,10318.81081081081
